停留所コード,停留所名,緯度,経度
399,あじさいのまち北中山　北中山公民館（南）,35.952125,136.238204
400,樋口（南）,35.953262,136.210693
401,桜あふれるまち中河　中河小学校前（南）,35.954723,136.209061
402,体育館北（南）,35.946583,136.198508
403,横越西（北）,35.946423,136.202386
404,横越（北）,35.946227,136.205009
405,体育館西（西）,35.944308,136.196372
406,新出（北）,35.954586,136.193832
407,長泉寺（東）,35.95343,136.187927
408,旭町４丁目（東）,35.949696,136.188034
409,JR鯖江駅（１番のりば）,35.943314,136.188171
410,本町1丁目（西）,35.944519,136.185135
411,本町２丁目（西）,35.945847,136.185226
412,市民ホールつつじ前（本山前）（南）,35.946404,136.18454
413,西鯖江駅前（南）,35.946838,136.182373
414,嚮陽会館（南）,35.947075,136.180054
415,嚮陽会館内,35.947317,136.179362
416,嚮陽会館（北）,35.947186,136.179916
417,西鯖江駅前（北）,35.946896,136.182724
418,市民ホールつつじ前（本山前）（北）,35.946499,136.18454
419,本町２丁目（東）,35.945782,136.185379
420,本町1丁目（東）,35.944393,136.185287
421,JR鯖江駅（２番のりば）,35.943451,136.187912
422,柳町１丁目（北）,35.94648,136.190048
423,柳町３丁目（北）,35.946571,136.191895
424,体育館北（北）,35.946686,136.197815
425,横越西（北）,35.946407,136.202377
426,横越（北）,35.946209,136.205002
427,斎藤病院北（出口）,35.946449,136.207138
428,出口,35.947861,136.208008
429,中河駐在所前,35.949554,136.212036
430,高年大学,35.962826,136.206955
431,花出（北）,35.949093,136.212769
432,原（北）,35.948425,136.219635
433,川島西,35.947102,136.22644
434,川島,35.946354,136.230469
435,川島東,35.944576,136.233948
436,あじさいのまち北中山　北中山公民館（北）,35.952274,136.238429
437,磯部口（北）,35.952354,136.241089
438,ハニー東陽店前,35.948757,136.243942
439,戸口,35.952362,136.246353
440,別司口,35.949047,136.257309
441,別司,35.948803,136.259628
442,河和田口,35.948715,136.267838
443,河和田,35.949532,136.269836
444,莇生田口（北）,35.948151,136.271927
445,自然豊かなまち河和田　河和田ｺﾐｭﾆﾃｨｾﾝﾀｰ（西）,35.950996,136.274307
446,うるしの里会館,35.953178,136.274216
447,西袋,35.958134,136.271027
448,椿坂,35.958557,136.274445
449,河和田小学校前（北）,35.953854,136.277969
450,金谷口（北）,35.954277,136.282043
451,金谷,35.963776,136.284134
452,北中（北）,35.954308,136.284439
453,寺中,35.954597,136.289703
454,尾花,35.952206,136.294693
455,ラポーゼかわだ（南）,35.948242,136.301361
456,天屋橋,35.948032,136.304245
457,上河内,35.947071,136.307434
458,鉱泉前,35.945007,136.313995
459,ラポーゼかわだ（北）,35.948772,136.301361
460,北中（南）,35.954227,136.284424
461,金谷口（南）,35.954151,136.281921
462,河和田小学校前（南）,35.953754,136.278046
463,自然豊かなまち河和田　河和田ｺﾐｭﾆﾃｨｾﾝﾀｰ（東）,35.951012,136.274445
464,莇生田口（南）,35.948009,136.271896
465,磯部口（南）,35.952263,136.240509
466,あじさいのまち北中山　北中山公民館（南）,35.952206,136.238473
467,原（南）,35.948376,136.219635
468,花出（南）,35.949036,136.212723
469,横越（南）,35.946136,136.204971
470,横越西（南）,35.946342,136.202423
471,体育館北（南）,35.94659,136.197845
472,柳町３丁目（南）,35.946465,136.191833
473,柳町１丁目（南）,35.946388,136.190277
474,JR鯖江駅（１番のりば）,35.943306,136.188187
475,本町1丁目（西）,35.944523,136.185135
476,本町２丁目（西）,35.945847,136.185257
477,市民ホールつつじ前（本山前）（南）,35.946411,136.18454
478,西鯖江駅前（南）,35.94685,136.182343
479,嚮陽会館（南）,35.947071,136.180054
480,JR鯖江駅（１番のりば）,35.943321,136.188187
481,本町1丁目（西）,35.9445,136.185135
482,本町２丁目（西）,35.945843,136.185242
483,市民ホールつつじ前（本山前）（南）,35.9464,136.184525
484,西鯖江駅前（南）,35.946854,136.182327
485,嚮陽会館（南）,35.947067,136.180054
486,丹南高校,35.95318,136.168928
487,有定町２丁目（東）,35.945572,136.176437
488,福井高専,35.937702,136.171204
489,JR鯖江駅（２番のりば）,35.943451,136.187912
490,本町1丁目（東）,35.94442,136.185287
491,本町２丁目（東）,35.945782,136.185394
492,市民ホールつつじ前（本山前）（北）,35.946499,136.184586
493,西鯖江駅前（北）,35.946899,136.182724
494,嚮陽会館（北）,35.947197,136.179916
495,有定町２丁目（西）,35.945503,136.1763
496,神明駅,35.972846,136.181591
497,神中町２丁目（北）,35.971111,136.188324
498,越のゆ前（神中町２丁目東）（北）,35.969856,136.192764
499,神中町１丁目（北）,35.969002,136.195816
500,JR北鯖江駅東口,35.971252,136.19873
501,下河端西,35.967285,136.19873
502,下河端南,35.965073,136.201569
503,高年大学前,35.964607,136.207947
504,橋立,35.965256,136.209534
505,青葉台（北）,35.970039,136.211319
506,吉谷西（北）,35.969719,136.214844
507,吉谷（北）,35.969273,136.221085
508,吉谷東（北）,35.9706,136.224518
509,四方谷,35.977608,136.221466
510,南井口,35.979511,136.224487
511,ことぶき荘前（大野北）,35.976616,136.226868
512,文殊山の里片上　片上公民館,35.973378,136.231584
513,大野,35.97316,136.232544
514,別所,35.97094,136.239542
515,乙坂今北,35.96186,136.230088
516,今北山古墳群,35.957835,136.229889
517,落井口,35.95422,136.229874
518,あじさいのまち北中山　北中山公民館（北）,35.95229,136.238016
523,神中町２丁目（南）,35.971031,136.18808
524,越のゆ前（神中町２丁目東）（南）,35.969734,136.192719
525,神中町１丁目（南）,35.968906,136.195679
526,青葉台（南）,35.969921,136.211258
527,吉谷西（南）,35.969635,136.214798
528,吉谷（南）,35.969177,136.221069
529,吉谷東（南）,35.970509,136.224518
530,あじさいのまち北中山　北中山公民館（南）,35.952138,136.238076
532,神明駅,35.972846,136.181591
533,ふくしん神明支店前（三六町２丁目）（南）,35.972749,136.179442
534,糺町,35.977779,136.175659
535,杉本,35.978962,136.174591
536,近松の里たちまち　 立待公民館,35.982731,136.172928
537,丸山町４丁目,35.984409,136.17688
538,近松会館（南）,35.988289,136.17424
539,中杉本ふれあい会館,35.982357,136.175598
540,平和台団地,35.993099,136.170135
541,西番,35.988052,136.168549
542,吉江七曲り通り前,35.987221,136.17038
543,JA鯖江北支店（下杉本）,35.984108,136.168579
544,サンリーブ前（上杉本）,35.981773,136.166824
545,石田上,35.978741,136.15947
546,石田下,35.97884,136.152832
547,西石田（北）,35.973412,136.150635
548,石田中（北）,35.97324,136.158859
549,ふくしん神明支店前（三六町２丁目）（北）,35.972862,136.179453
550,近松会館（北）,35.988445,136.174133
551,西石田（南）,35.973282,136.150757
552,石田中（南）,35.973141,136.158356
553,神明駅,35.972846,136.181591
554,ふくしん神明支店前（三六町２丁目）（南）,35.972778,136.179367
555,三六連隊跡神明　神明公民館（東）,35.970745,136.178726
556,公立丹南病院（１番のりば）,35.969646,136.178543
557,北野町２丁目（東）,35.967941,136.17865
558,北野町１丁目（東）,35.964226,136.178604
559,北野口（南）,35.963867,136.176117
560,平井（南）,35.964085,136.166397
561,吉川なす発祥の地吉川　吉川公民館,35.962898,136.157623
562,吉田,35.95982,136.157867
563,あすなろ,35.95562,136.15538
564,朝霞（南）,35.955498,136.14975
565,西和,35.955456,136.144699
566,西大井,35.958103,136.138412
567,持明寺,35.960049,136.1465
568,持明寺北,35.962456,136.147003
569,川去,35.964573,136.142197
570,川去町集落センター前,35.965767,136.143768
571,田村,35.963787,136.148544
572,吉川駐在所前,35.964012,136.157211
573,大倉,35.965446,136.157547
574,小泉,35.968365,136.157791
575,石田中（西）,35.973912,136.158485
576,ふくしん神明支店前（三六町２丁目）（北）,35.972878,136.179428
577,三六連隊跡神明　神明公民館（西）,35.970837,136.178604
578,公立丹南病院（２番のりば）,35.969696,136.178467
579,北野町２丁目（西）,35.967922,136.178528
580,北野町１丁目（西）,35.964123,136.178513
581,北野口（北）,35.964028,136.1764
582,平井（北）,35.964165,136.166473
583,朝霞（北）,35.955578,136.149857
584,石田中（東）,35.973888,136.15893
585,JR鯖江駅（１番のりば）,35.943321,136.188187
586,本町1丁目（西）,35.9445,136.185135
587,本町２丁目（西）,35.945843,136.185242
588,市民ホールつつじ前（本山前）（南）,35.9464,136.184525
589,西鯖江駅前（南）,35.946854,136.182327
590,嚮陽会館（南）,35.947067,136.180054
591,鯖江中学校（西）,35.951591,136.175949
592,小黒町（西）,35.955231,136.175751
593,丹南橋西（丹南高校）,35.955971,136.167694
594,あおい団地口,35.955772,136.159622
595,二丁掛,35.953186,136.157288
596,下氏家町集落センター,35.946129,136.154831
597,花と緑のまち豊　豊公民館,35.945745,136.151966
598,豊小学校前,35.94392,136.151825
599,上氏家,35.941006,136.156601
600,上野田,35.942181,136.149185
601,漆原,35.943871,136.14386
602,石生谷,35.940727,136.135315
603,光道園（和田）,35.947475,136.138824
604,和田口,35.951176,136.142502
605,野田北（相生）,35.95126,136.146484
606,冬島（西）,35.953945,136.147156
607,JR鯖江駅（１番のりば）,35.943321,136.188187
